codtrabajo,cantidad,precio_trabajo
ARTOC95,101,3850827.0
ARTOC96,8916,349293216.0
ARTOCNR,1865,65260080.0
FTARTOC95,10,774040.0
FTARTOC96,1819,144674165.0
FTARTOCNR,225,15977925.0
NCAMAC,289,289.0
NCAMACNR,348,348.0
NCAMBI,6585,271045185.0
NCAMBINR,4941,203376501.0
NDDNCP,1335,51350775.0
NDDVNC,9944,302476592.0
NDECOP,3991,122651412.0
NDECOV,95,2164385.0
NDESCO,9622,84154012.0
NDIGIT,1,40802.0
NFTCAMAC,6,6.0
NFTCAMACNR,61,61.0
NFTCAMBI,62,5181588.0
NFTCAMBINR,356,29752344.0
NFTDDNCP,137,3958204.0
NFTDDVNC,3610,82524600.0
NFTDECOP,100,10434700.0
NFTELITE,3,1519803.0
NFTICTCA,40,6048520.0
NFTICTNC,785,139880720.0
NFTIEMCA,90,16053570.0
NFTIEMNC,2952,716931576.0
NFTITECC,6,907278.0
NFTITVCA,45,7326495.0
NFTLELITE,2,284028.0
NFTREINS,327,12857640.0
NFTROUTER,1055,68395650.0
NFTTCTCA,2,302426.0
NFTTCTNC,54,9622368.0
NFTTDVNC,443,12799156.0
NFTTEMCA,21,3745833.0
NFTTEMNC,355,86216365.0
NFTTODAP,148,4276016.0
NFTTODAT,5497,125661420.0
NFTTOTEP,12,1175028.0
NFTTOTEV,22,502920.0
NFTTTOTEV,3,68580.0
NIAMPLI,23,23.0
NICTCA,383,28580226.0
NICTNC,1711,150708302.0
NIEMCA,1273,129907104.0
NIEMCAB,2,0.0
NIEMNC,6993,839908251.0
NIEMNCB,2,0.0
NITECC,81,5228145.0
NITVCA,120,8954640.0
NITVNC,121,10657922.0
NLLELITE,318,22230108.0
NOTELITE,6,1655724.0
NPYCAMAC,14,14.0
NPYCAMACNR,20,20.0
NPYCAMBI,113,7240475.0
NPYCAMBINR,296,18966200.0
NPYDDNCP,56,6176912.0
NPYDDVNC,480,25004160.0
NPYDECOP,25,2205000.0
NPYDECOV,2,78080.0
NPYELITE,4,1638400.0
NPYIAMPLI,1,1.0
NPYICTCA,33,4219248.0
NPYICTNC,222,33458286.0
NPYIEMCA,26,3923270.0
NPYIEMCAB,1,150895.0
NPYIEMNC,251,51562177.0
NPYITECC,4,511424.0
NPYITVCA,12,1651884.0
NPYITVNC,5,753565.0
NPYREINS,78,2594826.0
NPYROUTER,222,3672990.0
NPYTCTCA,9,1150704.0
NPYTCTNC,38,5727094.0
NPYTDVNC,43,2239956.0
NPYTEMCA,8,1207160.0
NPYTEMNC,31,6368237.0
NPYTODAP,85,2455820.0
NPYTODAT,1384,31638240.0
NPYTOTEP,14,1158948.0
NPYTOTEV,161,3680460.0
NPYTTOTEV,11,251460.0
NREEMPL,16,182656.0
NREINS,6343,123365007.0
NROUTER,6777,112125465.0
NSIMPV,16,214864.0
NSIMVE,2,22832.0
NTCTCA,96,7163712.0
NTCTNC,400,35232800.0
NTDVNC,3270,99466860.0
NTEMCA,471,48064608.0
NTEMNC,2175,261232725.0
NTODAP,2608,75381632.0
NTODAT,15765,360529785.0
NTOTEP,93,2688072.0
NTOTEV,38,869022.0
NTROUTER,1118,18497310.0
NTTOTEV,36,823284.0
NTTVCA,1,74622.0
NTTVNC,10,880820.0
PYARTOC95,2,128496.0
PYARTOC96,288,19012608.0
PYARTOCNR,58,3418694.0
REVISITA,2262,0.0
VENTEC,2433,24364062.0
